"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"dm","dm drogerie markt GmbH","Infrastruktur","Einzelhandel","Günter-Bauer-Straße 1",5071,"kundenservice@dm.at","+4366285830","+4366285831111","24.08.2020"
2,"Conrad","Conrad Electronic GmbH & Co KG","Infrastruktur","Einzelhandel","Durisolstraße 2",4600,"sales@conrad.at","+4350204040","+4350204044","24.08.2020"
3,"Lieb Markt","Lieb Markt GmbH","Infrastruktur","Einzelhandel","Birkfelder Straße 40",8160,"office@lieb.at","+43317224170",,"24.08.2020"
4,"EDUSCHO","EDUSCHO (Austria) GmbH","Infrastruktur","Einzelhandel","Gadnergasse 71",1110,"service@eduscho.at","+431766220","+431766222297","24.08.2020"
5,"XXXLutz","XXXLutz KG","Infrastruktur","Einzelhandel","Römerstraße 39",4600,"kundenservice@lutz.at  ","+43501111000","'+43724243881 ","24.08.2020"
6,"Strandmeister","Strandmeister GmbH","Infrastruktur","Einzelhandel","SCS Voesendorf Allee 214 Shop 92",2334,"service@strandmeister.at","+4318902003",,"24.08.2020"
7,"Obi","OBI Bau-und Heimwerkermärkte Systemzentrale GmbH","Infrastruktur","Einzelhandel","Litfaßstraße 8",1030,"service@obi.at","+43720883595",,"24.08.2020"
8,"Hartlauer","Hartlauer Handelsgesellschaft m.b.H.","Infrastruktur","Einzelhandel","Stadtplatz 13",4400,"office@hartlauer.at","+435061331001","+435061331099","24.08.2020"
9,"Hervis Sports","Hervis Sport- und Modegesellschaft m.b.H.","Infrastruktur","Einzelhandel","Europastraße 3",5015,"office@hervis.at","+4366289640","+436628964379311","24.08.2020"
10,"Breddys","BREDDY'S GmbH","Infrastruktur","Einzelhandel","Leo Mathauser-Gasse 71/2",1230,"bestellungen@breddys.com","+4316091361",,"24.08.2020"
11,"IKEA","IKEA Möbelvertrieb OHG","Infrastruktur","Einzelhandel","Südring",2334,"ikea.austria@ikea.com","+43800081100","+43800081900","24.08.2020"
12,"Cineplexx","Cinepromotion und Filmmarketing Ges.m.b.H.","Infrastruktur","Einzelhandel","Zollergasse 36",1070,"cinepromotion@constantinfilm.at",,,"24.08.2020"
13,"Deichmann","Deichmann GmbH","Infrastruktur","Einzelhandel","Modecenterstraße 22",1030,"service-at@deichmann.com","+4317986400","+4317986400120","24.08.2020"
14,"denn's","dennree Naturkost GmbH","Infrastruktur","Einzelhandel","Taborstraße 13/4",1020,"info@denns.at","+4314818880",,"24.08.2020"
15,"Jö","Unser Ö-Bonus Club GmbH","Infrastruktur","Einzelhandel","IZ NÖ-Süd, Straße 3, Objekt 16",2355,"service@joe-club.at","+4313865000",,"24.08.2020"
16,"H&M","H & M Hennes & Mauritz GesmbH","Infrastruktur","Einzelhandel","Kirchengasse 6/6",1070,"dataprotection.at@hm.com","+438006655900",,"24.08.2020"
17,"McDonalds","McDonald's Franchise GmbH","Infrastruktur","Einzelhandel","Campus 21, Liebermannstraße, A01601",2345,"kundenservice@mcdonalds.at","+43223630700","+43223630700487","24.08.2020"
18,"Hofer","HOFER Kommanditgesellschaft","Infrastruktur","Einzelhandel","Hofer Straße 1",4642,"datenschutz@hofer.at","+435703035500",,"29.09.2020"
19,"Lidl","Lidl Österreich GmbH","Infrastruktur","Einzelhandel","Unter der Leiten 11",5020,"kundenservice@lidl.at","+43800500810",,"29.09.2020"
20,"Spar","SPAR Österreichische Warenhandels-AG","Infrastruktur","Einzelhandel","Europastraße 3",5015,"office@spar.at","+43800221120",,"29.09.2020"
21,"Billa","BILLA Aktiengesellschaft","Infrastruktur","Einzelhandel","IZ NÖ-Süd, Straße 3, Objekt 16",2355,"kundenservice@billa.at","+43800828700",,"29.09.2020"
22,"Merkur","BILLA Aktiengesellschaft, Abteilung MERKUR","Infrastruktur","Einzelhandel","IZ NÖ-Süd, Straße 3, Objekt 16",2355,"kundenservice@merkur.co.at","+43800242400",,"29.09.2020"
23,"Unimarkt","Unimarkt Handelsgesellschaft m.b.H. & Co. Kommanditgesellschaft","Infrastruktur","Einzelhandel","Egger-Lienz-Straße 14",4050,"office@unimarkt.at","+4372296010","+4372296012485","29.09.2020"
