"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Österreichische Post","Österreichische Post Aktiengesellschaft","Infrastruktur","Zustellung","Rochusplatz 1",1030,"kundenservice@post.at","+43577670","+435776722071","24.08.2020"
2,"A1","A1 Telekom Austria AG","Infrastruktur","Mobilfunk","Lassallestraße 9",1020,"impressum@a1.at","+43506640","+43800664101","24.08.2020"
3,"bob","A1 Telekom Austria AG","Infrastruktur","Mobilfunk","bob service, Postfach 0680",1010,"impressum@bob.at","+43680600680",,"24.08.2020"
4,"Drei","Hutchison Drei Austria GmbH","Infrastruktur","Mobilfunk","Brünner Straße 52",1210,"serviceteam@drei.at","+43660303030","+43660303031","24.08.2020"
5,"educom","edustore GmbH","Infrastruktur","Mobilfunk","Universitätsstraße 4/5",1090,"customerservice@educom.at","+431961074850","+431961074833","24.08.2020"
6,"eety","Hutchison Drei Austria GmbH","Infrastruktur","Mobilfunk","Brünner Straße 52",1210,"info@eety.at",,,"24.08.2020"
7,"Georg","A1 Telekom Austria AG","Infrastruktur","Mobilfunk","Georg, Postfach 0621",1010,"service@georg.at","+43681840610","+43681840640","24.08.2020"
8,"HoT","HoT Telekom und Service GmbH","Infrastruktur","Mobilfunk","Baumgasse 60B",1030,"info@hot.at","+4367760016770","+4367760016773","24.08.2020"
9,"Red Bull Mobile","Red Bull Media House GmbH","Infrastruktur","Mobilfunk","Oberst-Lepperdinger-Straße 11-15",5071,"info@redbullmobile.com","+4366222400",,"24.08.2020"
10,"spusu","MASS Response Service GmbH","Infrastruktur","Mobilfunk","DC Tower 1, 38. Stock, Donau-City-Straße 7",1220,"office@spusu.at","+436706701000",,"24.08.2020"
11,"Magenta","T-Mobile Austria GmbH","Infrastruktur","ISP","Rennweg 97-99, Postfach 676",1031,"impressum@magenta.at","+436762000",,"24.08.2020"
12,"Yesss","A1 Telekom Austria AG","Infrastruktur","Mobilfunk","Lassallestraße 9",1020,"info@yesss.at","+43820810810",,"24.08.2020"
13,"Compass","Compass-Verlag GmbH","Infrastruktur","Telefonbuchverlag","Matznergasse 17",1140,"office@compass.at","+43198116113","+43198116118","06.09.2020"
14,"Herold","Herold Business Data GmbH","Infrastruktur","Telefonbuchverlag","Guntramsdorfer Straße 105",2340,"kundenservice@herold.at","+4322364010","+4322364018","06.09.2020"
15,"Heise RegioConcept","Heise RegioConcept GmbH & Co. KG","Infrastruktur","Telefonbuchverlag","Franz-Fritsch-Straße 11",4600,"office@telefonbuchverlag.at","+43724220883000","+43724220883090","06.09.2020"
16,"FirmenABC","FirmenABC Marketing GmbH","Infrastruktur","Telefonbuchverlag","Strass 1",5301,"office@firmenabc.at","+43622520810","+4362252081020","06.09.2020"
17,"BK-DAT","BK-DAT Electronics e.U.","Infrastruktur","ISP","Hieflauerstraße 18",8790,"info@bkdat.net","+43384860048","+43384860048150","06.09.2020"
18,"kapper.net","KAPPER NETWORK-COMMUNICATIONS GmbH – kapper.net","Infrastruktur","ISP","Alserbachstraße 11, Top 6",1090,"info@kapper.net","+43590800","+4313195502","06.09.2020"
19,"Oja","Oja.at GmbH","Infrastruktur","ISP","Adi Dassler Gasse 6",9073,"office@oja.at","+43463597597","+43463597597277","06.09.2020"
20,"easyname","easyname GmbH","Infrastruktur","ISP","Fernkorngasse 10/3/501",1100,"office@easyname.com","+4313532222",,"06.09.2020"
21,"Nessus","NESSUS GmbH","Infrastruktur","ISP","Fernkorngasse 10/3/501",1100,"support@nessus.at","+4313360006","+43123488779","06.09.2020"
22,"Innonet","Innonet ICT-Services GmbH","Infrastruktur","ISP","Goldschlagstraße 172/5/1",1140,"support@innonet.at","+4357745745","+4357745746","06.09.2020"
23,"IPAX","IPAX OG","Infrastruktur","ISP","Donaustraße 106",3400,"office@ipax.at","+4313670030","+431367003015","06.09.2020"
24,"next layer","next layer Telekommunikationsdienstleistungs- und BeratungsGmbH","Infrastruktur","ISP","Mariahilfer Gürtel 37/7",1150,"office@nextlayer.at","+43517640","+4351764900","06.09.2020"
25,"funknetz","funknetz.at LE GmbH","Infrastruktur","ISP","Industriestraße 1/K01/11",2100,"office@funknetz.at","+4322622364010",,"06.09.2020"
26,"Innsbrucker Kommunalbetriebe","Innsbrucker Kommunalbetriebe Aktiengesellschaft","Infrastruktur","ISP","Salurner Straße 11",6020,"kundenservice@ikb.at","+43800500502",,"06.09.2020"
27,"Stadtwerke Kapfenberg","Stadtwerke Kapfenberg GmbH","Infrastruktur","ISP","Stadtwerkestraße 6",8605,"info@hiway.at","+433862235160","+43386223516238","06.09.2020"
28,"Kabel TV Frohnleiten","Kabel TV Frohnleiten GesmbH","Infrastruktur","ISP","Grazer Straße 10",8130,"info@hiway.at","‘+43312632444","+43386223516238","06.09.2020"
29,"TeleTronic","TeleTronic Telekommunikations Service GmbH","Infrastruktur","ISP","Am Concorde Park 1/C5",2320,"office@teletronic.at","+4312810000","+431281000077","06.09.2020"
30,"Unwired","Unwired Networks GmbH","Infrastruktur","ISP","Gonzagagasse 11/25",1010,"office@unwirednetworks.net","+4319962051",,"06.09.2020"
31,"A.K.I.S.","A.K.I.S. Gesellschaft mbH","Infrastruktur","ISP","Meiselstraße 46/4",1150,"office@akis.at","+4315037451","+4315037452","06.09.2020"
32,"Stadtwerke Mürzzuschlag","Stadtwerke Mürzzschlag GmbH","Infrastruktur","ISP","Mariazeller Straße 45c",8680,"office@stwmz.at","+43385220250","+4338522025620","06.09.2020"
33,"SAT-Krieglach","SAT-Krieglach","Infrastruktur","ISP","Bürstadtstraße 1-3",8670,"sat@krieglach.net","+4367761811512",,"06.09.2020"
