"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion für Steiermark","Bildungsdirektion für Steiermark","Bildung","Behörde","Körblergasse 23",8011,"bildungsdirektion@bildung-stmk.gv.at","+4350248345",,"19.08.2020"
2,"Landespolizeidirektion Steiermark","Landespolizeidirektion Steiermark","Infrastruktur","Polizei","Straßganger Straße 280",8052,"LPD-ST@polizei.gv.at","+4359133600","+4359133601009","19.08.2020"
3,"Wirtschaftskammer Steiermark","Wirtschaftskammer Steiermark","Interessensvertretung","Kammer","Körblergasse 111-113",8010,"office@wkstmk.at","+43316601","+43316601361","18.08.2020"
4,"Rechtanswaltskammer Steiermark","Rechtanswaltskammer Steiermark","Interessensvertretung","Kammer","Salzamtsgasse 3/IV",8010,"office@rakstmk.at","+433168302900","+43316829730","18.08.2020"
5,"Landeszahnärztekammer Steiermark","Landeszahnärztekammer Steiermark","Interessensvertretung","Kammer","Marburger Kai 51/2",8010,"office@stmk.zahnaerztekammer.at","+43505118060","+43505118080","18.08.2020"
6,"Notariatskammer für Steiermark","Notariatskammer für Steiermark","Interessensvertretung","Kammer","Wielandgasse 36/III",8010,"steiermark@notariatskammer.at","+43316825286","+433168252864","18.08.2020"
7,"Ärztekammer Steiermark","Ärztekammer Steiermark","Interessensvertretung","Kammer","Kaiserfeldgasse 29",8010,"aek@aekstmk.or.at","+4331680440","+43316815671","18.08.2020"
8,"Apothekerkammer Steiermark","Apothekerkammer Steiermark","Interessensvertretung","Kammer","Stadionplatz 2",8041,"steiermark@apothekerkammer.at","+43316475374","+4331647537422","18.08.2020"
9,"Arbeiterkammer Steiermark","Kammer für Arbeiter und Angestellte für Steiermark","Interessensvertretung","Kammer","Hans-Resel-Gasse 8-14",8020,"redaktion@akstmk.at","'+435-7799",,"18.08.2020"
10,"Kammer der Steuerberater und Wirtschaftsprüfer Steiermark","Kammer der Steuerberater und Wirtschaftsprüfer Steiermark","Interessensvertretung","Kammer","Leechgasse 25",8010,"stmk@ksw.or.at","+43316830830","+4331683083040","18.08.2020"
11,"Kammer der ZiviltechnikerInnen für Steiermark und Kärnten","Kammer der ZiviltechnikerInnen für Steiermark und Kärnten","Interessensvertretung","Kammer","Schönaugasse 7/1",8010,"office@ztkammer.at","+43316826344","+4331682634425","18.08.2020"
12,"Steiermärkische Landarbeiterkammer","Steiermärkische Landarbeiterkammer","Interessensvertretung","Kammer","Raubergasse 20",8010,"office@lak-stmk.at","+433168325070","+4331683250720","20.08.2020"
13,"KFA für die Beamten der Landeshauptstadt Graz","Krankenfürsorgeanstalt für die Beamten der Landeshauptstadt Graz","Gesundheit","Krankenfürsorgeanstalt","Hauptplatz 1","8011","kfa@stadt.graz.at","'+433168725900",,"20.08.2020"
14,"KUG","Universität für Musik und darstellende Kunst Graz","Bildung","Universität","Leonhardstraße 15",8010,"info@kug.ac.at","'+433163890","+433163891101","23.08.2020"
15,"MedUni Graz","Medizinische Universität Graz","Bildung","Universität","Auenbruggerplatz 2",8036,"office.datenschutz@medunigraz.at","'+433163850",,"23.08.2020"
16,"TU Graz","Technische Universität Graz","Bildung","Universität","Rechbauerstraße 12",8010,"info@tugraz.at","'+433168730","'+433168736009","23.08.2020"
17,"KFU","Karl-Franzens-Universität Graz","Bildung","Universität","Universitätsplatz 3",8010,"info@uni-graz.at","'+433163800","'+433163809030","23.08.2020"
18,"Uni Leoben","Montanuniversität Leoben","Bildung","Universität","Franz-Josef-Straße 18",8700,"office@unileoben.ac.at","'+4338424027001","'+4338424027012","23.08.2020"
19,"KPH Graz","Kirchliche Pädagogische Hochschule Graz","Bildung","Pädagogische Hochschule","Bischofsplatz 4",8010,"schulamt@graz-seckau.at","+43316581670","+4331658167011","24.08.2020"
20,"PH Steiermark","Pädagogische Hochschule Steiermark","Bildung","Pädagogische Hochschule","Hasnerplatz 12",8010,"oeffentlichkeit@phst.at","+4331680670","+4331680673199","24.08.2020"
21,"FH Joanneum","FH Joanneum Gesellschaft mbH","Bildung","Fachhochschule","Alte Poststraße 149",8020,"info@fh-joanneum.at","+4331654530",,"24.08.2020"
22,"FH Campus 02","CAMPUS 02 Fachhochschule der Wirtschaft GmbH","Bildung","Fachhochschule","Körblergasse 126",8010,"info@campus02.at","+433166002177","+4331660021207","24.08.2020"
23,"SPÖ","SPÖ-Steiermark","Interessensvertretung","Partei","Eggenberger Allee 49",8020,"stmk-lps@spoe.at","+43507020",,"19.09.2020"
24,"ÖVP","Steirische Volkspartei","Interessensvertretung","Partei","Karmeliterplatz 6",8010,"office@stvp.at","+4331660744","+43316607444325","19.09.2020"
25,"FPÖ","Freiheitliche Partei Österreichs (FPÖ) - Landespartei Steiermark","Interessensvertretung","Partei","Hans-Sachs-Gasse 10/4",8010,"lgst@fpoe-stmk.at","+4331670720","+4331670728","19.09.2020"
26,"KPÖ","KPÖ-Steiermark","Interessensvertretung","Partei","Lagergasse 98a",8020,"a.fuchs@kpoe-steiermark.at","+43316712479","+43316716291","19.09.2020"
27,"Die Grünen","Die Grünen Steiermark","Interessensvertretung","Partei","Kaiser-Franz-Josef-Kai 70/1",8010,"steiermark@gruene.at","+436648317492",,"19.09.2020"
28,"NEOS","NEOS – Das Neue Österreich und Liberales Forum","Interessensvertretung","Partei","Annenstraße 34a",8020,"steiermark@neos.eu","+4366488782415",,"19.09.2020"
