"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Wiener Linien","Wiener Linien GmbH & Co KG","Infrastruktur","Verkehr","Erdbergstraße 202",1030,"post@wienerlinien.at","+43179090","+431790924609","24.08.2020"
2,"ÖBB","ÖBB Personenverkehrs AG","Infrastruktur","Verkehr","Am Hauptbahnhof 2",1100,"impressum@pv.oebb.at","+431930000",,"24.08.2020"
3,"VOR","Verkehrsverbund Ost-Region (VOR) GmbH","Infrastruktur","Verkehr","Europaplatz 3/3",1150,"office@vor.at","+431955550","+431955551122","06.09.2020"
4,"OÖVV","OÖ Verkehrsverbund-Organisations GmbH Nfg. & Co KG","Infrastruktur","Verkehr","Volksgartenstraße 23",4020,"office@ooevg.at","+437326610100","+4373266101030","06.09.2020"
5,"SVV","Salzburger Verkehrsverbund GmbH","Infrastruktur","Verkehr","Schallmooser Hauptstraße 10, Postfach 74",5027,"office@salzburg-verkehr.at","+43662632900","+43662875787111","06.09.2020"
6,"VVT","Verkehrsverbund Tirol GesmbH","Infrastruktur","Verkehr","Sterzinger Straße 3",6020,"info@vvt.at","+43512575858","+4351257585833","06.09.2020"
7,"VVV","Verkehrsverbund Vorarlberg GmbH","Infrastruktur","Verkehr","Herrengasse 10-12",6800,"info@vmobil.at","+43552283951","+43552273973","06.09.2020"
8,"VST","Verkehrsverbund Steiermark GmbH","Infrastruktur","Verkehr","Friedrichgasse 13",8010,"office@verbundlinie.at","+433168121380","+433168121383","06.09.2020"
9,"VVK","Verkehrsverbund Kärnten GesmbH","Infrastruktur","Verkehr","Bahnhofplatz 5",9020,"datenschutz@vkgmbh.at","+434635461821","+434635461830","06.09.2020"
10,"share now","car2go Österreich GmbH","Infrastruktur","Verkehr","Hintere Zollamtsstraße 9",1030,"servus@share-now.com","+4312677111",,"24.08.2020"
